1753797	1077655		0093624819127	UPC	Insomniac / Dookie	Audio	Album	Album	CD	Pop	12/31/1899	Reprise
1753799	1077655		0093624784029	UPC	Nimrod/Dookie	Audio	Album	Album	CD 5-inch	Pop	12/31/1899	Warner Catalog and O/H
1753798	1077655		0093624717027	UPC	Dookie/Insomniac (Double Dose Campaign	Audio	Album	Album	CD 5-inch	Pop	12/31/1899	Reprise
1753800	1077655		0093624812821	UPC	Dookie / Nimrod	Audio	Album	Album	CD 5-inch	Pop	12/31/1899	Warner Catalog and O/H
1199588	1077655	21884	0093624679417	UPC	Nimrod	Audio	Album	Album	Vinyl	Pop	12/31/1899	Reprise
1200593	1077655		0054391725929	UPC	Good Riddance (time Of Your Life)	Audio	Single	Single	CD	Pop	12/31/1899	Reprise
1753793	1077655		0093624190820	UPC	When I Come Around/Longview (Live)	Audio	Single	Single	CD 5-inch	Pop	12/31/1899	Reprise
1753794	1077655		0093624352822	UPC	When I Come Around	Audio	Single	Single	CD 5-inch	Pop	12/31/1899	Reprise
1753795	1077655		0093624354123	UPC	Basket Case/She	Audio	Single	Single	CD 5-inch	Pop	12/31/1899	Reprise
1200594	1077655		0054391725943	UPC	Good Riddance (time Of Your Life)	Audio	Single	Single	Tape Cassette	Pop	12/31/1899	Reprise
1199362	1077655		0054391725974	UPC	Good Riddance (time Of Your Life)	Audio	Single	Single	Vinyl	Pop	12/31/1899	Reprise
3763663	1077655	21885	0093624552918	UPC	Dookie	Audio	Album	Album	Vinyl	Pop	1/28/1994	Reprise
1821382	1077655		0093624579526	UPC	Dookie (Ltd Ed CD/Jewel)	Audio	Album	Album	CD	Pop	2/1/1994	Reprise
1765214	1077655	21885	0093624552925	UPC	Dookie (U.S. Version)	Audio	Album	Album	CD 5-inch	Alternative Rock	2/1/1994	Reprise
1817940	1077655	21885	0093624552949	UPC	Dookie (U.S. Version)	Audio	Album	Album	Tape Cassette	Alternative Rock	2/1/1994	Reprise
1556138	1077655	21885	A10302B00000338905	GRID	Sassafras Roots (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	2/1/1994	Reprise
1556137	1077655	21885	A10302B0000033889S	GRID	Pulling Teeth (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	2/1/1994	Reprise
1556139	1077655	21885	A10302B00000338913	GRID	Coming Clean (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	2/1/1994	Reprise
1556134	1077655	21885	A10302B0000033886Y	GRID	Burnout (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	2/1/1994	Reprise
1556140	1077655	21885	A10302B00000338921	GRID	In The End (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	2/1/1994	Reprise
1556142	1077655	21885	A10302B0000033894Y	GRID	All By Myself (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	2/1/1994	Reprise
