1	Distribution	Physical	Cleared	WWD	3/3/2009			Product	1011376		
2	Distribution	Permanent Download	Cleared	CL039	2/10/2008			Product	1014264		
3	Master	Permanent Download	Cleared	CL039	2/10/2008			Product	1014264		
4	Distribution	Ad-Supported Streaming	Cleared	CL039	2/10/2008			Product	1014265		
5	Distribution	Electronic Temp Usage	Cleared	CL039	2/10/2008			Product	1014265		
6	Master	Ad-Supported Streaming	Cleared	CL039	2/10/2008			Product	1014265		
7	Master	Electronic Temp Usage	Cleared	CL039	2/10/2008			Product	1014265		
8	Distribution	Permanent Download	Cleared	CL039	2/10/2008			Product	1014266		
9	Master	Permanent Download	Cleared	CL039	2/10/2008			Product	1014266		
10	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056243		
11	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056243		
12	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056243		
13	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056245		
14	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056245		
15	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056245		
16	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056246		
17	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056246		
18	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056246		
19	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056247		
20	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056247		
21	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056247		
22	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056248		
23	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056248		
24	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056248		
25	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056249		
26	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056249		
27	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056249		
28	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056250		
29	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056250		
30	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056250		
31	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056251		
32	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056251		
33	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056251		
34	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056252		
35	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056252		
36	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056252		
37	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056253		
38	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056253		
39	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056253		
40	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056254		
41	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056254		
42	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056254		
43	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056255		
44	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056255		
45	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056255		
46	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056256		
47	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056256		
48	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056256		
49	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056257		
50	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056257		
51	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056257		
52	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056258		
53	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056258		
54	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056258		
55	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056259		
56	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056259		
57	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056259		
58	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056260		
59	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056260		
60	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056260		
61	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056261		
62	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056261		
63	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056261		
64	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056262		
65	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056262		
66	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056262		
67	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056263		
68	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056263		
69	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056263		
70	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056264		
71	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056264		
72	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056264		
73	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056265		
74	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056265		
75	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056265		
76	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056266		
77	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056266		
78	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056266		
79	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056267		
80	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056267		
81	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056267		
82	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056268		
83	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056268		
84	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056268		
85	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056269		
86	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056269		
87	Distribution	Permanent Download	Cleared	AT	11/1/2007			Product	1056269		
88	Distribution	Ad-Supported Streaming	Cleared	AT	11/1/2007			Product	1056270		
89	Distribution	Electronic Temp Usage	Cleared	AT	11/1/2007			Product	1056270		
